CityName,Population,CityRank,IsMetroCity,IsTouristDestination,IsWeekend,IsNewYearEve,Date,HotelName,RoomRent,StarRating,Airport,HotelAddress,HotelPincode,HotelDescription,FreeWifi,FreeBreakfast,HotelCapacity,HasSwimmingPool
Lucknow,2817105,11,0,0,1,0,Dec 18 2016,Clarks Avadh,7200,4,10,"8 Mahatama Gandhi Marg, Lucknow, Uttar Pradesh, 226 001 India",226001,"4-star hotel in Lucknow with 2 restaurants, indoor pool",1,1,98,1
Lucknow,2817105,11,0,0,0,0,Dec 21 2016,Clarks Avadh,7200,4,10,"9 Mahatama Gandhi Marg, Lucknow, Uttar Pradesh, 226 001 India",226001,"4-star hotel in Lucknow with 2 restaurants, indoor pool",1,1,98,1
Lucknow,2817105,11,0,0,1,0,Dec 24 2016,Clarks Avadh,7200,4,10,"10 Mahatama Gandhi Marg, Lucknow, Uttar Pradesh, 226 001 India",226001,"4-star hotel in Lucknow with 2 restaurants, indoor pool",1,1,98,1
Lucknow,2817105,11,0,0,1,0,Dec 25 2016,Clarks Awadh,5400,4,10,"8 Mahatama Gandhi Marg, Lucknow, Uttar Pradesh, India",226001,"4-star hotel in Lucknow with 2 restaurants, indoor pool",1,0,98,1
Lucknow,2817105,11,0,0,0,0,Dec 28 2016,Clarks Awadh,5400,4,10,"8 Mahatama Gandhi Marg, Lucknow, Uttar Pradesh, India",226001,"4-star hotel in Lucknow with 2 restaurants, indoor pool",1,0,98,1
Lucknow,2817105,11,0,0,1,1,Dec 31 2016,Clarks Awadh,5400,4,10,"8 Mahatama Gandhi Marg, Lucknow, Uttar Pradesh, India",226001,"4-star hotel in Lucknow with 2 restaurants, indoor pool",1,0,98,1
Lucknow,2817105,11,0,0,0,0,Jan 04 2017,Clarks Awadh,7200,4,10,"8 Mahatama Gandhi Marg, Lucknow, Uttar Pradesh, India",226001,"4-star hotel in Lucknow with 2 restaurants, indoor pool",1,0,98,1
Lucknow,2817105,11,0,0,1,0,Jan 08 2017,Clarks Awadh,7200,4,10,"8 Mahatama Gandhi Marg, Lucknow, Uttar Pradesh, India",226001,"4-star hotel in Lucknow with 2 restaurants, indoor pool",1,0,98,1
Lucknow,2817105,11,0,0,1,0,Dec 18 2016,Comfort Inn,3693,3,12,"75-v Vibhuti Khandgomtinagar, Lucknow, Uttar Pradesh, India",226010,"3-star hotel in Lucknow with restaurant, bar/lounge",1,0,64,0
Lucknow,2817105,11,0,0,0,0,Dec 21 2016,Comfort Inn,3693,3,12,"75-v Vibhuti Khandgomtinagar, Lucknow, Uttar Pradesh, India",226010,"3-star hotel in Lucknow with restaurant, bar/lounge",1,0,64,0
Lucknow,2817105,11,0,0,1,0,Dec 24 2016,Comfort Inn,3693,3,12,"75-v Vibhuti Khandgomtinagar, Lucknow, Uttar Pradesh, India",226010,"3-star hotel in Lucknow with restaurant, bar/lounge",1,0,64,0
Lucknow,2817105,11,0,0,1,0,Dec 25 2016,Comfort Inn,3693,3,12,"75-v Vibhuti Khandgomtinagar, Lucknow, Uttar Pradesh, India",226010,"3-star hotel in Lucknow with restaurant, bar/lounge",1,0,64,0
Lucknow,2817105,11,0,0,0,0,Dec 28 2016,Comfort Inn,3693,3,12,"75-v Vibhuti Khandgomtinagar, Lucknow, Uttar Pradesh, India",226010,"3-star hotel in Lucknow with restaurant, bar/lounge",1,0,64,0
Lucknow,2817105,11,0,0,1,1,Dec 31 2016,Comfort Inn,3693,3,12,"75-v Vibhuti Khandgomtinagar, Lucknow, Uttar Pradesh, India",226010,"3-star hotel in Lucknow with restaurant, bar/lounge",1,0,64,0
Lucknow,2817105,11,0,0,0,0,Jan 04 2017,Comfort Inn,3330,3,12,"75-v Vibhuti Khandgomtinagar, Lucknow, Uttar Pradesh, 226010 India",226010,"3-star hotel in Lucknow with restaurant, bar/lounge",1,0,64,0
